Year,Month,Date,LTER_Site,Station,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm,Daily_windsp_mean_msec,FLAG_Daily_windsp_mean_msec,Daily_Windspeed_AbsMax_m_s,Daily_globalrad_total_jcm2,FLAG_Daily_globalrad_total_mjm2,Moss,Soil20cm,Comments
1988,6,19880627,ARC,TLKMAIN,10.6,E,14.1,E,6.3,E,0.5,,2.5,,4.3,1682,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880628,ARC,TLKMAIN,12.8,E,18.5,E,7.8,E,3.0,,2.6,,7.2,1756,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880629,ARC,TLKMAIN,13.9,E,18.4,E,10.3,E,0.0,,2.7,,6.5,2078,,8,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,6,19880630,ARC,TLKMAIN,14.8,E,20.3,E,8.2,E,0.5,,2.6,,5.0,1759,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880701,ARC,TLKMAIN,14.8,E,18.8,E,7.4,E,0.0,,2.4,,3.9,2524,,9,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880702,ARC,TLKMAIN,16.7,E,22.0,E,7.6,E,0.0,,3.8,,6.1,2474,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880703,ARC,TLKMAIN,16.6,E,21.1,E,12.2,E,0.0,,3.8,,6.5,2140,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880704,ARC,TLKMAIN,13.0,E,15.8,E,8.1,E,0.0,,3.7,,6.0,3040,,9,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880705,ARC,TLKMAIN,14.1,E,20.9,E,4.1,E,0.0,,3.1,,6.0,2855,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880706,ARC,TLKMAIN,15.2,E,20.0,E,5.7,E,0.0,,2.7,,4.1,2619,,9,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880707,ARC,TLKMAIN,12.9,E,16.2,E,7.6,E,0.3,,3.0,,5.1,1791,,7,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880708,ARC,TLKMAIN,11.4,E,15.7,E,3.6,E,0.0,,3.5,,5.0,2721,,8,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880709,ARC,TLKMAIN,12.2,E,16.3,E,4.5,E,0.0,,3.1,,4.6,2926,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880710,ARC,TLKMAIN,13.1,E,17.1,E,6.2,E,0.8,,2.9,,4.5,1880,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880711,ARC,TLKMAIN,13.3,E,17.2,E,6.8,E,6.9,,2.5,,4.2,1798,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880712,ARC,TLKMAIN,14.6,E,18.8,E,6.0,E,0.0,,2.6,,4.1,2566,,9,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880713,ARC,TLKMAIN,17.2,E,22.3,E,8.4,E,0.0,,2.6,,3.9,2537,,10,6,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880714,ARC,TLKMAIN,17.7,E,21.7,E,10.7,E,0.0,,2.7,,4.4,2686,,10,6,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880715,ARC,TLKMAIN,13.8,E,21.7,E,9.7,E,6.9,,3.3,,8.1,1227,,9,6,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880716,ARC,TLKMAIN,15.1,E,20.9,E,10.1,E,0.0,,2.8,,7.1,1916,,9,6,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880717,ARC,TLKMAIN,8.5,E,13.2,E,5.5,E,4.3,,2.4,,5.0,588,,7,6,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880718,ARC,TLKMAIN,10.5,E,13.1,E,7.4,E,0.8,,2.3,,3.8,1049,,7,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880719,ARC,TLKMAIN,10.8,E,15.2,E,7.0,E,1.5,,2.7,,4.1,1460,,8,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880720,ARC,TLKMAIN,9.4,E,13.5,E,2.8,E,0.0,,3.5,,6.3,2129,,7,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880721,ARC,TLKMAIN,3.2,E,6.1,E,0.6,E,0.0,,3.3,,4.7,918,,5,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880722,ARC,TLKMAIN,3.5,E,7.1,E,-0.2,E,0.0,,3.1,,4.7,1599,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880723,ARC,TLKMAIN,5.3,E,9.8,E,-2.4,E,0.0,,3.4,,5.7,1840,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880724,ARC,TLKMAIN,8.7,E,13.8,E,1.9,E,0.0,,2.2,,3.6,1619,,6,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880725,ARC,TLKMAIN,11.0,E,13.6,E,6.5,E,0.0,,4.6,,7.4,502,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880726,ARC,TLKMAIN,10.8,E,15.4,E,3.5,E,0.0,,4.2,,8.3,1202,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880727,ARC,TLKMAIN,12.7,E,17.3,E,3.3,E,0.0,,4.5,,7.4,2372,,6,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880728,ARC,TLKMAIN,13.9,E,18.7,E,8.0,E,0.0,,3.4,,6.6,1796,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880729,ARC,TLKMAIN,12.2,E,16.7,E,7.0,E,0.5,,3.1,,4.8,1617,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880730,ARC,TLKMAIN,11.9,E,17.0,E,6.8,E,0.5,,3.0,,5.6,1107,,7,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,7,19880731,ARC,TLKMAIN,9.2,E,10.8,E,7.3,E,9.9,,4.3,,7.9,443,,5,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880801,ARC,TLKMAIN,7.6,E,8.6,E,6.9,E,11.7,,2.6,,4.7,325,,5,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880802,ARC,TLKMAIN,10.4,E,13.3,E,7.2,E,0.0,,2.3,,3.9,608,,6,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880803,ARC,TLKMAIN,7.0,E,10.9,E,4.1,E,9.9,,4.2,,6.5,369,,5,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880804,ARC,TLKMAIN,8.6,E,15.3,E,2.5,E,0.3,,1.8,,2.6,1789,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880805,ARC,TLKMAIN,12.9,E,21.4,E,2.3,E,0.0,,2.6,,4.3,2171,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880806,ARC,TLKMAIN,13.0,E,18.7,E,6.5,E,0.0,,2.8,,3.9,1155,,7,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880807,ARC,TLKMAIN,8.8,E,15.5,E,0.4,E,4.3,,4.1,,6.6,649,,6,5,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880808,ARC,TLKMAIN,0.6,E,1.3,E,-0.4,E,5.6,,2.5,,3.5,1116,,3,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880809,ARC,TLKMAIN,5.3,E,11.5,E,0.2,E,0.0,,2.0,,2.6,2072,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880810,ARC,TLKMAIN,8.3,E,13.1,E,0.8,E,0.3,,3.6,,4.9,1604,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880811,ARC,TLKMAIN,10.2,E,14.1,E,7.7,E,2.0,,4.3,,5.9,849,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880812,ARC,TLKMAIN,3.8,E,8.0,E,0.3,E,15.0,,4.1,,6.1,318,,4,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880813,ARC,TLKMAIN,7.6,E,14.5,E,0.4,E,0.0,,3.1,,5.0,1819,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880814,ARC,TLKMAIN,10.1,E,14.0,E,4.6,E,2.3,,7.5,,10.2,1236,,5,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880815,ARC,TLKMAIN,10.7,E,12.9,E,8.2,E,0.3,,5.8,,8.7,935,,5,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880816,ARC,TLKMAIN,10.3,E,13.6,E,7.7,E,1.3,,2.4,,5.0,937,,6,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880817,ARC,TLKMAIN,14.2,E,18.3,E,7.8,E,0.0,,3.5,,6.7,720,,6,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880818,ARC,TLKMAIN,11.1,E,15.3,E,5.7,E,0.3,,3.4,,5.6,1653,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880819,ARC,TLKMAIN,6.7,E,10.0,E,4.1,E,0.8,,2.1,,3.7,830,,6,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880820,ARC,TLKMAIN,9.1,E,13.7,E,4.8,E,1.5,,1.6,,3.2,724,,6,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880821,ARC,TLKMAIN,9.9,E,14.0,E,6.9,E,3.6,,2.8,,4.8,1063,,7,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880822,ARC,TLKMAIN,1.6,E,7.1,E,-0.5,E,1.3,,3.6,,5.1,696,,4,4,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880823,ARC,TLKMAIN,-0.2,E,0.7,E,-1.4,E,4.3,,2.3,,4.3,1065,,3,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880824,ARC,TLKMAIN,4.2,E,9.1,E,0.0,E,0.0,,1.7,,3.3,1210,,4,3,Air temp and wind speed/dir at  5meter is only at 3meters
1988,8,19880825,ARC,TLKMAIN,6.7,,12.6,,0.3,,0.0,,#N/A,,#N/A,1473,,4,3,Using Air TC 1m for AT 1 meter
1988,8,19880826,ARC,TLKMAIN,10.2,,14.4,,6.4,,0.0,E,3.4,,7.5,405,,5,3,using Imnavait rain value
1988,8,19880827,ARC,TLKMAIN,8.9,,14.7,,2.7,,0.0,E,2.9,,5.8,585,,5,3,using Imnavait rain value
1988,8,19880828,ARC,TLKMAIN,5.0,,6.2,,3.9,,0.0,E,2.3,,3.5,67,,5,3,using Imnavait rain value
1988,8,19880829,ARC,TLKMAIN,1.1,,2.6,,-0.8,,5.1,E,3.3,,4.4,85,,3,3,using Imnavait rain value
1988,8,19880830,ARC,TLKMAIN,-2.5,,-1.0,,-3.9,,0.0,E,3.8,,4.7,736,,1,2,using Imnavait Wyoming precipitation gage
1988,8,19880831,ARC,TLKMAIN,-5.5,,-4.2,,-7.5,,2.5,E,2.6,,4.0,824,,1,1,using Imnavait rain value
1988,9,19880901,ARC,TLKMAIN,-5.2,,-0.6,,-9.9,,2.5,E,1.4,,2.7,1398,,0,1,Using Imnavait SNOTEL precipitation data.
1988,9,19880902,ARC,TLKMAIN,1.8,,9.3,,-5.9,,5.1,E,2.4,,3.3,1541,,1,1,Using Imnavait SNOTEL precipitation data.
1988,9,19880903,ARC,TLKMAIN,5.2,,10.6,,-1.0,,0.0,E,3.2,,4.9,1437,,2,1,Using Imnavait SNOTEL precipitation data.
1988,9,19880904,ARC,TLKMAIN,2.3,,5.6,,-0.5,,5.1,E,1.9,,5.2,304,,1,1,Using Imnavait SNOTEL precipitation data.
1988,9,19880905,ARC,TLKMAIN,0.0,,1.6,,-1.7,,7.6,E,2.1,,3.5,721,,0,1,Using Imnavait SNOTEL precipitation data.
1988,9,19880906,ARC,TLKMAIN,-1.0,,1.0,,-4.1,,0.0,E,1.9,,3.9,872,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880907,ARC,TLKMAIN,2.5,,7.6,,-3.7,,5.1,E,3.5,,4.5,1371,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880908,ARC,TLKMAIN,4.3,,9.7,,-0.4,,0.0,E,3.1,,4.9,1152,,1,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880909,ARC,TLKMAIN,3.1,,9.0,,-2.3,,0.0,E,3.0,,5.2,1327,,1,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880910,ARC,TLKMAIN,3.0,,8.9,,-2.5,,0.0,E,2.9,,4.4,1158,,1,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880911,ARC,TLKMAIN,-1.9,,0.2,,-5.0,,0.0,E,2.1,,3.2,580,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880912,ARC,TLKMAIN,-0.6,,1.6,,-2.2,,0.0,E,1.3,,2.4,649,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880913,ARC,TLKMAIN,1.7,,8.6,,-5.2,,5.1,E,2.1,,3.9,1206,,1,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880914,ARC,TLKMAIN,2.5,,8.9,,-2.8,,2.5,E,3.0,,4.1,1136,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880915,ARC,TLKMAIN,2.0,,5.7,,-3.1,,0.0,E,2.3,,3.4,535,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880916,ARC,TLKMAIN,3.7,,9.5,,-2.7,,0.0,E,2.4,,4.5,1104,,1,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880917,ARC,TLKMAIN,5.6,,10.2,,1.1,,0.0,E,3.6,,5.5,595,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880918,ARC,TLKMAIN,4.4,,9.0,,0.5,,0.0,E,3.3,,5.1,822,,1,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880919,ARC,TLKMAIN,-2.8,,-0.6,,-4.4,,0.0,E,1.1,,3.9,256,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880920,ARC,TLKMAIN,-4.2,,-3.5,,-5.1,,0.0,E,0.4,,0.4,634,,0,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880921,ARC,TLKMAIN,-3.8,,-2.4,,-4.6,,0.0,E,1.2,,2.7,557,,-1,0,Using Imnavait SNOTEL precipitation data.
1988,9,19880922,ARC,TLKMAIN,-3.3,,-1.6,,-5.1,,0.0,E,0.9,,1.8,558,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880923,ARC,TLKMAIN,-2.1,,0.8,,-6.5,,0.0,E,1.7,,3.1,629,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880924,ARC,TLKMAIN,-3.0,,-0.1,,-6.6,,0.0,E,1.9,,3.9,789,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880925,ARC,TLKMAIN,-2.7,,-2.2,,-3.5,,0.0,E,2.0,,3.1,388,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880926,ARC,TLKMAIN,-1.8,,0.5,,-4.6,,0.0,E,4.1,,7.7,728,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880927,ARC,TLKMAIN,-3.5,,-1.0,,-7.4,,0.0,E,5.0,,7.4,708,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880928,ARC,TLKMAIN,-2.1,,1.6,,-6.6,,0.0,E,3.0,,9.3,616,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880929,ARC,TLKMAIN,-3.0,,0.7,,-8.0,,0.0,E,5.0,,7.8,422,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,9,19880930,ARC,TLKMAIN,-8.9,,-5.7,,-11.5,,0.0,E,4.0,,7.7,741,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881001,ARC,TLKMAIN,-2.6,,-0.3,,-5.0,,0.0,E,7.4,,10.4,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881002,ARC,TLKMAIN,-4.9,,-2.1,,-8.6,,0.0,E,2.5,,6.0,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881003,ARC,TLKMAIN,-6.6,,-4.7,,-8.5,,0.0,E,1.7,,3.1,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881004,ARC,TLKMAIN,-10.7,,-8.4,,-11.9,,0.0,E,2.2,,4.2,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881005,ARC,TLKMAIN,-11.6,,-8.7,,-17.6,,2.5,E,1.1,,2.8,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881006,ARC,TLKMAIN,-10.3,,-7.3,,-14.8,,2.5,E,1.2,,2.1,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881007,ARC,TLKMAIN,-13.9,,-8.7,,-21.6,,5.1,E,2.9,,6.9,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881008,ARC,TLKMAIN,-12.6,,-11.6,,-13.5,,0.0,E,2.2,,5.8,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881009,ARC,TLKMAIN,-13.3,,-9.3,,-15.1,,0.0,E,1.1,,2.3,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881010,ARC,TLKMAIN,-16.1,,-13.6,,-22.9,,0.0,E,0.6,,1.1,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881011,ARC,TLKMAIN,-20.1,,-15.5,,-23.4,,0.0,E,1.4,,3.8,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881012,ARC,TLKMAIN,-17.3,,-14.1,,-20.1,,0.0,E,4.0,,5.5,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881013,ARC,TLKMAIN,-16.3,,-13.6,,-19.3,,0.0,E,5.1,,6.0,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881014,ARC,TLKMAIN,-11.3,,-8.0,,-16.7,,0.0,E,3.6,,5.6,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881015,ARC,TLKMAIN,-13.5,,-9.5,,-19.2,,0.0,E,3.5,,6.0,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881016,ARC,TLKMAIN,-15.7,,-8.1,,-22.3,,0.0,E,3.0,,8.6,#N/A,,-1,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881017,ARC,TLKMAIN,-19.8,,-18.0,,-22.2,,0.0,E,2.1,,3.4,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881018,ARC,TLKMAIN,-23.4,,-20.1,,-25.8,,0.0,E,2.0,,3.8,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881019,ARC,TLKMAIN,-19.4,,-14.3,,-24.6,,2.5,E,2.7,,4.4,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881020,ARC,TLKMAIN,-15.4,,-10.8,,-19.4,,0.0,E,3.4,,5.0,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881021,ARC,TLKMAIN,-18.3,,-15.7,,-20.1,,0.0,E,2.3,,3.6,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881022,ARC,TLKMAIN,-20.1,,-16.5,,-25.5,,0.0,E,1.6,,3.8,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881023,ARC,TLKMAIN,-21.1,,-20.4,,-21.8,,0.0,E,1.1,,3.1,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881024,ARC,TLKMAIN,-21.5,,-20.7,,-23.4,,0.0,E,0.5,,0.5,#N/A,,-2,-1,Using Imnavait SNOTEL precipitation data.
1988,10,19881025,ARC,TLKMAIN,-29.9,,-24.4,,-33.5,,0.0,E,0.4,,0.5,#N/A,,-3,-2,Using Imnavait SNOTEL precipitation data.
1988,10,19881026,ARC,TLKMAIN,-26.1,,-20.7,,-33.2,,0.0,E,0.4,,0.4,#N/A,,-3,-2,Using Imnavait SNOTEL precipitation data.
1988,10,19881027,ARC,TLKMAIN,-26.6,,-23.9,,-28.1,,0.0,E,1.5,,3.3,#N/A,,-4,-2,Using Imnavait SNOTEL precipitation data.
1988,10,19881028,ARC,TLKMAIN,-19.4,,-12.2,,-28.7,,0.0,E,3.2,,7.2,#N/A,,-4,-2,Using Imnavait SNOTEL precipitation data.
1988,10,19881029,ARC,TLKMAIN,-21.8,,-17.7,,-26.8,,0.0,E,1.7,,3.0,#N/A,,-3,-2,Using Imnavait SNOTEL precipitation data.
1988,10,19881030,ARC,TLKMAIN,-19.3,,-6.9,,-28.4,,0.0,E,2.3,,8.0,#N/A,,-4,-3,Using Imnavait SNOTEL precipitation data.
1988,10,19881031,ARC,TLKMAIN,-9.3,,-7.2,,-12.4,,0.0,E,4.2,,9.6,#N/A,,-3,-2,Using Imnavait SNOTEL precipitation data.
